,account_id,account_owner,amount,authorized_date,category,category_id,date,iso_currency_code,location,merchant_name,name,payment_channel,payment_meta,pending,pending_transaction_id,transaction_code,transaction_id,transaction_type,unofficial_currency_code
78,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,-1927.59,,,,2020-09-04,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Salary/Regular Income from DFAS,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,XgagVpYzkVsV4OM8v7ZwFj9RK8ZgvxC4gJgvw,unresolved,
79,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,38.92,,,,2020-09-03,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,#XX 933 FAIRFAX FAST 4800 F BAKERSFIELD CA Card 17 #8750,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,ePaPLOYwoLf1gqMDBdXQc7DwpmZ1jKcdO6OyQ,unresolved,
80,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,9.99,,,,2020-09-03,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Youtube Premium,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,NmRmxpOzZxIeLRkQgnADiEqMBkK9NYuRDADNz,unresolved,
81,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,925.0,,"['Transfer', 'Withdrawal', 'Check']",21012001,2020-09-02,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,CHECK # 1010,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,Yg7gOeYzAOsAd79v0N5bi01Ey7zdOnHQOmOAR,special,
82,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,64.99,,['Payment'],16000000,2020-09-02,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Payment to Spectrum,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,zPdP5bK8g5f6kEOBZabzCj80qRQKgzCOrErp0,special,
83,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,33.99,,,,2020-09-01,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,#XX 933 FAIRFAX FAST 4800 F BAKERSFIELD CA Card 17 #8750,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,mvpvKNY3mKConqd0kDyaS0pDeNzx76HMjpjoK,unresolved,
85,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,400.0,,,,2020-09-01,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,To Share 0001,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,d1a16OYdo6TVgrLayxoeFJ46mX5V9BtbOZOzn,unresolved,
86,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,5.0,,,,2020-08-31,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,SERVICE CHARGE,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,wLpLJbBa5JfQLZNzoXvyhbMEzjrB5pHLNANmA,unresolved,
87,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,0.11,,,,2020-08-29,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Fee VISA INTERNATIONAL SERVICE ASSESSMENT Date Card 17 #8750,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,6wDwnXqpQnCMAVY0EO5XhP83wp1dYOHaR7RQe,unresolved,
88,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,10.99,,,,2020-08-29,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Jagex.com,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,LMRM4N9zn4C4RVqn9JKoCVYAjxp3D1I0gzgkw,digital,
89,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,62.62,,"['Travel', 'Gas Stations']",22009000,2020-08-27,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Chevron,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,D0R0ypJzDyFy4PKxYgLvsmPxyowEjvsZbkbjD,place,
90,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,39.88,,,,2020-08-25,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,#XX 933 FAIRFAX FAST 4800 F BAKERSFIELD CA Card 17 #8750,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,1rJrOX6pxOfX8ZYyPEaQF7dpNY4gA6cmNkNMX,unresolved,
91,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,-103.5,,,,2020-08-25,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,XX0000 TYPE: FED PAYMNT CO: XX0000 ACH ECC,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': 'ACH', 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,PgRg8pYzq8s8p7RXPq0eiEd84RejvzumPzPvV,special,
92,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,33.12,,,,2020-08-24,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Shoyu Sushi,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,q4p40b6A90HLx5jRpE1vIvMrdk56gRtJpKpwd,unresolved,
93,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,48.78,,,,2020-08-21,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,#XX 933 FAIRFAX FAST 4800 F BAKERSFIELD CA Card 17 #8750,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,BAjABXaz0BsBY7kvyzwQU43zpndAmrI9EKEyX,unresolved,
94,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,8.1,,['Payment'],16000000,2020-08-21,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Payment to Southern California Edison,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,y1p1ZbyJVZTwkK9nRN1xhqMPj0oyb7HOZ5ZEB,special,
95,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,8.23,,['Payment'],16000000,2020-08-21,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Payment to Southern California Gas Company,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,3awaEXDpzESoM0YnLmJbS104vKm9L7CKyNy6y,special,
96,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,-1939.94,,,,2020-08-21,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Salary/Regular Income from DFAS,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,KgNgrY7zKrsr07vAweygSAJwyopB7KTQwPwMg,unresolved,
97,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,-103.5,,,,2020-08-21,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,XX0000 TYPE: FED PAYMNT CO: XX0000 ACH ECC,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': 'ACH', 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,kkpk3OYqo3spB1kbKy0dSPZoD1rpymHRO8OLy,special,
98,Ak0kqX4z9qsqB5pnaQd6fwQEJ9xnYYU6qOaa6,,29.53,,,,2020-08-17,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,#XX 933 FAIRFAX FAST 4800 F BAKERSFIELD CA Card 17 #8750,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,Ak0kqX4z9qsqB5pnaQdviqE8AVKydaH6DLDRE,unresolved,
