,account_id,account_owner,amount,authorized_date,category,category_id,date,iso_currency_code,location,merchant_name,name,payment_channel,payment_meta,pending,pending_transaction_id,transaction_code,transaction_id,transaction_type,unofficial_currency_code
4,v6p6xbq4ZxtzLakBoJpQhOaM5v8mYYHm3vLLV,,-1419.81,,"['Transfer', 'Credit']",21005000,2020-11-02,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,From Share 0002,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,NmRmxpOzZxIeLRkQgnqofpa9dmzmY0fRDa6Lj,special,
7,v6p6xbq4ZxtzLakBoJpQhOaM5v8mYYHm3vLLV,,-400.0,,"['Transfer', 'Credit']",21005000,2020-11-01,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,From Share 0002,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,PgRg8pYzq8s8p7RXPq0eiEdvXJdmeaSmyMAN8,special,
50,v6p6xbq4ZxtzLakBoJpQhOaM5v8mYYHm3vLLV,,-400.0,,"['Transfer', 'Credit']",21005000,2020-10-01,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,From Share 0002,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,8LPLXe3pzXfqKMYvR8mZiXzV7ABzo3Iygwgr6,special,
54,v6p6xbq4ZxtzLakBoJpQhOaM5v8mYYHm3vLLV,,-0.67,,"['Interest', 'Interest Earned']",15001000,2020-09-30,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,Interest Income,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,ZgagMOYzrMs9YaLdjMo4TwJaNxOJRpIRwnw7A,special,
67,v6p6xbq4ZxtzLakBoJpQhOaM5v8mYYHm3vLLV,,-1000.0,,"['Transfer', 'Credit']",21005000,2020-09-18,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,From Share 0002,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,5dLdQXPpgQfmpeYQgoZ4uJvLxBKvyQCB8Z8zk,special,
76,v6p6xbq4ZxtzLakBoJpQhOaM5v8mYYHm3vLLV,,-2000.0,,"['Transfer', 'Credit']",21005000,2020-09-07,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,From Share 0002,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,ojpjANdKaAUNLw9QX5vVtyNQEOmNv9FBqvq58,special,
84,v6p6xbq4ZxtzLakBoJpQhOaM5v8mYYHm3vLLV,,-400.0,,"['Transfer', 'Credit']",21005000,2020-09-01,USD,"{'address': None, 'city': None, 'country': None, 'lat': None, 'lon': None, 'postal_code': None, 'region': None, 'store_number': None}",,From Share 0002,other,"{'by_order_of': None, 'payee': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'ppd_id': None, 'reason': None, 'reference_number': None}",False,,,bLMLdpYzPdfBPD6w1oEkUeQ6r8OQdbhq3M3v0,special,
